0.7782145732689211,90.7521578298397,{'max_depth': 4, 'eta': 0.9356540841248376, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 93, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 3.539244555055747, 'gamma': 18.317271156273833, 'lambda': 0.9706619219221418, 'scale_pos_weight': 1.708650637850595, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.900726650563607,85.3678586107686,{'max_depth': 4, 'eta': 0.055037562404998686, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 7, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 4.947315202109925, 'gamma': 4.042564676683461, 'lambda': 1.3831352093130345, 'scale_pos_weight': 7.378035413307746, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8075322061191625,78.83271681052199,{'max_depth': 4, 'eta': 0.16481280837269052, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 97, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 3.3279996405381276, 'gamma': 3.320767563244034, 'lambda': 2.592362422995728, 'scale_pos_weight': 4.513178136158574, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.7393065619967794,90.7521578298397,{'max_depth': 4, 'eta': 0.9682786592179143, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 41, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 1.4590745659736226, 'gamma': 4.346912629605276, 'lambda': 0.005219063747901598, 'scale_pos_weight': 0.21766570129034046, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8679690016103059,85.08014796547472,{'max_depth': 4, 'eta': 0.32468033836763566, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 58, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 1.264751132481658, 'gamma': 10.617188400957769, 'lambda': 4.375610411848833, 'scale_pos_weight': 5.672426362842166, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8619595410628018,87.09412248253186,{'max_depth': 4, 'eta': 0.7636612352813483, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 37, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 3.813999155226128, 'gamma': 18.012864929877413, 'lambda': 0.565569612116123, 'scale_pos_weight': 4.2562553701541965, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.787307769726248,90.42334566378956,{'max_depth': 4, 'eta': 0.02801243556397992, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 56, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 2.6111162963700707, 'gamma': 4.1116369516064735, 'lambda': 2.2522633646515384, 'scale_pos_weight': 2.4867227028292915, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8643609098228664,79.3259350595972,{'max_depth': 4, 'eta': 0.03735305660674493, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 82, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 0.4966352070036517, 'gamma': 4.871040265832091, 'lambda': 4.200107310718991, 'scale_pos_weight': 9.101708215306942, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8074194847020936,88.4504726674887,{'max_depth': 4, 'eta': 0.1642090581729827, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 58, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 0.5403724384038311, 'gamma': 5.5054274511161765, 'lambda': 2.2694541015403513, 'scale_pos_weight': 2.595140770742611, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8878029388083735,93.62926428277846,{'max_depth': 4, 'eta': 0.032186323125031446, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 15, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 4.499306615069542, 'gamma': 9.001299224157494, 'lambda': 0.5330064553912128, 'scale_pos_weight': 3.683202234469584, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8648339371980676,89.80682285244553,{'max_depth': 4, 'eta': 0.29729983667541315, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 60, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 2.778278203242774, 'gamma': 10.88801842061666, 'lambda': 3.4421866252217246, 'scale_pos_weight': 4.151615869595249, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8865448872785828,93.4648581997534,{'max_depth': 4, 'eta': 0.19906963118797583, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 13, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 1.067067875906556, 'gamma': 20.269918702661265, 'lambda': 0.3520033988249749, 'scale_pos_weight': 3.663589681459226, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.7764814814814816,90.7521578298397,{'max_depth': 4, 'eta': 0.5997050193825082, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 40, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 1.382517438095745, 'gamma': 24.582538940607364, 'lambda': 2.6306324054811676, 'scale_pos_weight': 2.314808838160797, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8604267310789051,87.79284833538841,{'max_depth': 4, 'eta': 0.0753997575303389, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 72, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 0.472093137052626, 'gamma': 15.548752804426963, 'lambda': 1.604915069382467, 'scale_pos_weight': 5.408127579032923, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.7994897342995169,90.7521578298397,{'max_depth': 4, 'eta': 0.046510745634982587, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 43, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 0.8596410762933748, 'gamma': 5.227226461859377, 'lambda': 3.8909093157919052, 'scale_pos_weight': 1.8412355663560542, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8888083735909824,82.20304151253596,{'max_depth': 4, 'eta': 0.17685919358284907, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 41, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 2.8113485617582006, 'gamma': 5.391505654224396, 'lambda': 2.082057194458976, 'scale_pos_weight': 8.979975755615047, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.863791264090177,83.35388409371147,{'max_depth': 4, 'eta': 0.15552361309410934, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 74, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 2.8852296445595487, 'gamma': 23.121879103710032, 'lambda': 3.4033487701547767, 'scale_pos_weight': 6.6548024733084885, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8931018518518518,82.94286888614879,{'max_depth': 4, 'eta': 0.3297164028866302, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 0, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 3.1530072363982464, 'gamma': 22.201100489183755, 'lambda': 2.2294948216890704, 'scale_pos_weight': 8.087455873425855, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.884723228663446,83.60049321824907,{'max_depth': 4, 'eta': 0.4120413802860814, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 41, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 4.763436918640128, 'gamma': 13.133195675656026, 'lambda': 2.7736650112697223, 'scale_pos_weight': 6.841768663046775, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8836453301127214,81.46321413892314,{'max_depth': 4, 'eta': 0.2019317981478047, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 35, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 2.3934132906702037, 'gamma': 16.017684674630406, 'lambda': 2.1110121194556823, 'scale_pos_weight': 9.187718634856056, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8889261272141707,87.5462392108508,{'max_depth': 4, 'eta': 0.22647173153827238, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 28, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 2.555345156028336, 'gamma': 5.9476171381878915, 'lambda': 0.1313883590416287, 'scale_pos_weight': 5.245167953397908, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8868518518518519,84.13481298808055,{'max_depth': 4, 'eta': 0.6748996425863559, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 35, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 1.4756546420502392, 'gamma': 6.320601594438013, 'lambda': 4.161681143943829, 'scale_pos_weight': 6.692350266002234, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8844514895330113,81.83312782572955,{'max_depth': 4, 'eta': 0.12393287158437516, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 35, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 3.0299398305872356, 'gamma': 15.362768931581227, 'lambda': 4.900589113128329, 'scale_pos_weight': 8.55499769117258, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.859898349436393,77.3941635840526,{'max_depth': 4, 'eta': 0.6124142852353129, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 98, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 2.716258950764786, 'gamma': 11.240709590075475, 'lambda': 2.4415386431903343, 'scale_pos_weight': 9.34725304101222, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.772337962962963,90.7521578298397,{'max_depth': 4, 'eta': 0.7049864408540005, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 26, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 0.9036886716029863, 'gamma': 10.956401310840002, 'lambda': 0.016229509919090668, 'scale_pos_weight': 1.1477444401587222, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.7899859098228665,86.43649815043156,{'max_depth': 4, 'eta': 0.7840365951718815, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 82, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 4.508157020298464, 'gamma': 10.173970413832878, 'lambda': 4.248112763117558, 'scale_pos_weight': 2.8877114953985137, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8660899758454106,85.65556925606248,{'max_depth': 4, 'eta': 0.7179551675500497, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 39, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 3.652943349600114, 'gamma': 18.467138209483743, 'lambda': 2.610016713383726, 'scale_pos_weight': 5.131093160355327, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.891958534621578,92.72503082614057,{'max_depth': 4, 'eta': 0.3022539139112752, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 18, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 0.37362823910082055, 'gamma': 7.798672373382215, 'lambda': 1.8652183763216938, 'scale_pos_weight': 3.207110870188896, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.849736312399356,79.40813810110974,{'max_depth': 4, 'eta': 0.9545842171096698, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 93, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 1.2572374578128005, 'gamma': 14.393077188919062, 'lambda': 2.974812785781313, 'scale_pos_weight': 7.411477342082961, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.6644363929146538,90.7521578298397,{'max_depth': 4, 'eta': 0.15856005546798002, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 35, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 3.195820570350975, 'gamma': 21.317492872171705, 'lambda': 3.0845623706413527, 'scale_pos_weight': 0.3646503484785224, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8016143317230275,82.81956432387999,{'max_depth': 4, 'eta': 0.3711348012082121, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 66, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 1.5635971269582494, 'gamma': 8.219252690065169, 'lambda': 3.791755779858254, 'scale_pos_weight': 3.512697895063739, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.7867773752012881,90.7521578298397,{'max_depth': 4, 'eta': 0.11741323131295678, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 74, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 4.191372654090496, 'gamma': 8.009667487007274, 'lambda': 1.4124679203363684, 'scale_pos_weight': 0.8862425723280765, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.8866042673107891,84.3403205918619,{'max_depth': 4, 'eta': 0.704137767623495, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 46, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 4.596873058647624, 'gamma': 13.030410152947901, 'lambda': 3.1947845868755214, 'scale_pos_weight': 6.059232917578717, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
0.782336956521739,90.7521578298397,{'max_depth': 4, 'eta': 0.2549558058121073, 'subsample': 1, 'colsample_bytree': 1, 'colsample_bylevel': 1, 'min_child_weight': 24, 'silent': 1, 'objective': 'binary:logistic', 'eval_metric': 'auc', 'tree_method': 'exact', 'alpha': 2.3990793542700417, 'gamma': 4.268239305753635, 'lambda': 4.328296261595678, 'scale_pos_weight': 0.44689330091170376, 'nthread': 8, 'verbosity': 0, 'num_parallel_tree': 1}
