,AUC,ACC,max_depth,eta,subsample,colsamp_bytree,colsamp_bylvl,min_child_weight,silent,objective,eval_metric,tree_method,alpha,gamma,lambda,scale_pos_weight
0,0.8940942028985508,94.12248253185368,10.0,0.5,1.0,1.0,1.0,1.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.01,10.0,0.01,1.0
1,0.8940942028985508,94.12248253185368,10.0,0.5,1.0,1.0,1.0,1.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.01,10.0,0.01,1.0
2,0.8940942028985508,94.12248253185368,10.0,0.5,1.0,1.0,1.0,1.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.01,10.0,0.01,1.0
3,0.8940942028985508,94.12248253185368,10.0,0.5,1.0,1.0,1.0,1.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.01,10.0,0.01,1.0
4,0.8940942028985508,94.12248253185368,10.0,0.5,1.0,1.0,1.0,1.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.01,10.0,0.01,1.0
5,0.7866042673107889,86.27209206740649,41.0,0.24489185380347622,1.0,1.0,1.0,75.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",1.0931898740180168,13.623537015080418,4.02909625916404,3.365945451126268
6,0.7854126409017712,90.7521578298397,8.0,0.1395379285251439,1.0,1.0,1.0,54.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",2.526776440516812,5.511015551017417,3.4906969749411343,0.9274584338014791
7,0.8632659017713366,92.64282778462803,2.0,0.1024951761715075,1.0,1.0,1.0,4.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.13267984841931812,14.731642096897717,1.7012525825899594,0.9671637683346401
8,0.8685658212560385,84.17591450883683,48.0,0.7406677446676758,1.0,1.0,1.0,3.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.9941882534332425,20.235761416945667,0.7773974990589078,8.474943663474598
9,0.8891837761674718,89.06699547883272,18.0,0.5453665337483498,1.0,1.0,1.0,11.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",3.249422188897616,0.16246899195152542,4.786065361033906,6.037260313668911
10,0.8871839774557165,88.36826962597615,41.0,0.3589793804846284,1.0,1.0,1.0,18.0,1.0,"[""'binary:logistic'""]","[""'auc'""]","[""'exact'""]",0.7907887717233486,13.848038060611994,0.8231856070076343,5.058846940487653
