iter	Passed	Remaining
621	4464	2713
622	4472	2706
623	4481	2700
624	4489	2693
625	4498	2687
626	4507	2681
627	4516	2675
628	4524	2668
629	4533	2662
630	4542	2656
631	4551	2650
632	4560	2643
633	4569	2637
634	4578	2631
635	4587	2625
636	4596	2619
637	4605	2613
638	4614	2606
639	4623	2600
640	4631	2594
641	4641	2588
642	4649	2581
643	4658	2575
644	4668	2569
645	4677	2562
646	4685	2556
647	4694	2550
648	4703	2543
649	4712	2537
650	4720	2530
651	4729	2524
652	4737	2517
653	4740	2508
654	4749	2501
655	4758	2495
656	4766	2488
657	4775	2482
658	4783	2475
659	4792	2468
660	4801	2462
661	4809	2455
662	4818	2449
663	4827	2442
664	4828	2432
665	4837	2425
666	4845	2419
667	4854	2412
668	4863	2406
669	4872	2399
670	4880	2393
671	4889	2386
672	4898	2379
673	4907	2373
674	4915	2366
675	4916	2356
676	4925	2350
677	4934	2343
678	4942	2336
679	4951	2330
680	4952	2319
681	4960	2313
682	4969	2306
683	4977	2299
684	4978	2289
685	4987	2282
686	4995	2276
687	5004	2269
688	5013	2262
689	5013	2252
690	5022	2246
691	5023	2235
692	5032	2229
693	5041	2222
694	5049	2216
695	5058	2209
696	5066	2202
697	5087	2200
698	5099	2195
699	5110	2190
700	5121	2184
701	5130	2177
702	5139	2171
703	5149	2164
704	5158	2158
705	5167	2152
706	5176	2145
707	5185	2138
708	5194	2132
709	5203	2125
710	5206	2116
711	5215	2109
712	5224	2103
713	5227	2093
714	5236	2087
715	5245	2080
716	5253	2073
717	5263	2067
718	5264	2057
719	5273	2050
720	5283	2044
721	5292	2037
722	5301	2031
723	5310	2024
724	5318	2017
725	5327	2010
726	5336	2004
727	5345	1997
728	5346	1987
729	5348	1978
730	5357	1971
731	5366	1964
732	5367	1955
733	5376	1948
734	5385	1941
735	5394	1934
736	5403	1928
737	5411	1921
738	5420	1914
739	5429	1907
740	5438	1900
741	5446	1893
742	5455	1887
743	5464	1880
744	5473	1873
745	5482	1866
746	5491	1859
747	5500	1853
748	5509	1846
749	5518	1839
750	5527	1832
751	5536	1825
752	5545	1818
753	5553	1812
754	5562	1805
755	5571	1798
756	5580	1791
757	5589	1784
758	5598	1777
759	5607	1770
760	5607	1761
761	5616	1754
762	5625	1747
763	5634	1740
764	5643	1733
765	5652	1726
766	5661	1719
767	5670	1713
768	5679	1706
769	5688	1699
770	5697	1692
771	5706	1685
772	5715	1678
773	5724	1671
774	5733	1664
775	5742	1657
776	5745	1648
777	5754	1641
778	5763	1634
779	5772	1628
780	5780	1621
781	5789	1614
782	5798	1607
783	5807	1599
784	5816	1593
785	5825	1586
786	5834	1579
787	5843	1571
788	5852	1565
789	5861	1558
790	5870	1551
791	5879	1544
792	5884	1535
793	5893	1529
794	5902	1522
795	5911	1514
796	5920	1507
797	5928	1500
798	5938	1493
799	5947	1486
800	5956	1479
801	5965	1472
802	5974	1465
803	5982	1458
804	5992	1451
805	6000	1444
806	6009	1437
807	6018	1430
808	6027	1423
809	6036	1415
810	6045	1408
811	6054	1401
812	6063	1394
813	6072	1387
814	6080	1380
815	6081	1371
816	6090	1364
817	6099	1357
818	6108	1350
819	6117	1342
820	6126	1335
821	6127	1326
822	6136	1319
823	6145	1312
824	6154	1305
825	6163	1298
826	6172	1291
827	6181	1284
828	6190	1276
829	6191	1268
830	6200	1260
831	6209	1253
832	6217	1246
833	6226	1239
834	6235	1232
835	6244	1224
836	6246	1216
837	6255	1209
838	6264	1202
839	6272	1194
840	6281	1187
841	6290	1180
842	6299	1173
843	6307	1165
844	6316	1158
845	6325	1151
846	6334	1144
847	6343	1136
848	6351	1129
849	6360	1122
850	6369	1115
851	6378	1108
852	6387	1100
853	6396	1093
854	6404	1086
855	6413	1078
856	6422	1071
857	6431	1064
858	6440	1057
859	6449	1049
860	6458	1042
861	6467	1035
862	6476	1028
863	6485	1020
864	6493	1013
865	6502	1006
866	6510	998
867	6519	991
868	6528	984
869	6536	976
870	6545	969
871	6554	962
872	6563	954
873	6572	947
874	6580	940
875	6590	932
876	6599	925
877	6608	918
878	6617	910
879	6626	903
880	6635	896
881	6644	888
882	6653	881
883	6662	874
884	6671	866
885	6680	859
886	6688	852
887	6697	844
888	6706	837
889	6715	830
890	6724	822
891	6725	814
892	6734	806
893	6743	799
894	6752	792
895	6761	784
896	6770	777
897	6778	769
898	6787	762
899	6796	755
900	6805	747
901	6814	740
902	6823	732
903	6832	725
904	6841	718
905	6850	710
906	6859	703
907	6868	695
908	6877	688
909	6886	681
910	6894	673
911	6903	666
912	6912	658
913	6921	651
914	6930	643
915	6939	636
916	6948	628
917	6957	621
918	6966	614
919	6975	606
920	6984	599
921	6993	591
922	7002	584
923	7011	576
924	7020	569
925	7030	561
926	7038	554
927	7047	546
928	7056	539
929	7065	531
930	7074	524
931	7083	516
932	7092	509
933	7101	501
934	7110	494
935	7119	486
936	7128	479
937	7137	471
938	7146	464
939	7155	456
940	7164	449
941	7173	441
942	7182	434
943	7191	426
944	7200	419
945	7209	411
946	7218	403
947	7227	396
948	7235	388
949	7244	381
950	7253	373
951	7262	366
952	7271	358
953	7280	351
954	7289	343
955	7298	335
956	7306	328
957	7316	320
958	7324	313
959	7334	305
960	7343	298
961	7351	290
962	7360	282
963	7370	275
964	7379	267
965	7387	260
966	7396	252
967	7405	244
968	7413	237
969	7422	229
970	7431	221
971	7440	214
972	7449	206
973	7458	199
974	7467	191
975	7476	183
976	7485	176
977	7493	168
978	7502	160
979	7511	153
980	7519	145
981	7528	138
982	7537	130
983	7546	122
984	7555	115
985	7564	107
986	7573	99
987	7582	92
988	7591	84
989	7600	76
990	7609	69
991	7617	61
992	7626	53
993	7635	46
994	7644	38
995	7653	30
996	7662	23
997	7671	15
998	7680	7
999	7689	0
