AUC,num_iterations,learning_rate,max_leaf,min_data,feature_fraction,reg_alpha,lambda,min_split_gain,verbosity,max_bin,objective,metric
0.8624466586151368,100,0.6394267984578837,6,47,0.5,2.4489185380347624,1.395379285251439,10.24951761715075,-1,480,binary,auc
0.8377043075684381,100,0.8921795677048454,10,37,0.7,0.31782679481783593,0.9369523986159245,23.266089339073957,-1,390,binary,auc
0.8216696859903382,100,0.026535969683863625,17,45,0.9,4.195198209616588,4.4920904628385365,27.819070823066273,-1,10,binary,auc
0.7702516103059581,100,0.7588073671297673,15,44,0.7,3.4025051651799187,1.5547949981178155,95.72130722067811,-1,220,binary,auc
0.7792039049919486,100,0.10221027651984871,29,6,0.6,8.474943663474598,6.037260313668911,80.71282732743802,-1,470,binary,auc
0.8050513285024156,100,0.45942487967184253,12,24,0.2,5.52040631273227,8.294046642529949,61.85197523642461,-1,240,binary,auc
0.732349033816425,100,0.577352145256762,50,4,0.1,6.612633185677101,7.730683407886919,98.52215206607578,-1,150,binary,auc
0.8035416666666667,100,0.8664836667552697,29,17,0.8,6.356844442644002,3.6483217897008426,37.018096711688266,-1,140,binary,auc
0.8009983896940418,100,0.6701751743776934,49,43,0.2,6.091310056669882,1.7113864819809699,72.91267979503492,-1,110,binary,auc
0.7974808776167471,100,0.46226021185111577,22,40,0.9,2.1961517397026897,3.2428273441532185,76.83135775923722,-1,40,binary,auc
0.8624466586151368,100,0.6394267984578837,6,47,0.5,2.4489185380347624,1.395379285251439,10.24951761715075,-1,480,binary,auc
0.8377043075684381,100,0.8921795677048454,10,37,0.7,0.31782679481783593,0.9369523986159245,23.266089339073957,-1,390,binary,auc
0.8216696859903382,100,0.026535969683863625,17,45,0.9,4.195198209616588,4.4920904628385365,27.819070823066273,-1,10,binary,auc
0.7702516103059581,100,0.7588073671297673,15,44,0.7,3.4025051651799187,1.5547949981178155,95.72130722067811,-1,220,binary,auc
0.7792039049919486,100,0.10221027651984871,29,6,0.6,8.474943663474598,6.037260313668911,80.71282732743802,-1,470,binary,auc
0.8050513285024156,100,0.45942487967184253,12,24,0.2,5.52040631273227,8.294046642529949,61.85197523642461,-1,240,binary,auc
0.732349033816425,100,0.577352145256762,50,4,0.1,6.612633185677101,7.730683407886919,98.52215206607578,-1,150,binary,auc
0.8035416666666667,100,0.8664836667552697,29,17,0.8,6.356844442644002,3.6483217897008426,37.018096711688266,-1,140,binary,auc
0.8009983896940418,100,0.6701751743776934,49,43,0.2,6.091310056669882,1.7113864819809699,72.91267979503492,-1,110,binary,auc
0.7974808776167471,100,0.46226021185111577,22,40,0.9,2.1961517397026897,3.2428273441532185,76.83135775923722,-1,40,binary,auc
0.7987429549114332,100,0.22904807196410437,7,20,0.7,2.6774087597570273,2.109828435863265,94.29097143350545,-1,460,binary,auc
0.8324064009661836,100,0.3146778807984779,46,31,0.7,8.846831538867026,6.428518702004242,14.287159044206266,-1,90,binary,auc
0.808961352657005,100,0.24662750769398345,40,34,0.5,7.470138116522579,4.284338272945797,58.35329249456562,-1,240,binary,auc
0.8851932367149759,100,0.21932075915728333,13,32,0.8,0.9090941217379389,0.4711637542473457,10.964913035065916,-1,410,binary,auc
0.7917491948470209,100,0.15998200172245025,48,27,1.0,0.6352770615195713,3.816192865065368,99.61213802400968,-1,340,binary,auc
0.8295299919484703,100,0.2514141199818132,40,0,0.2,6.817103690265748,5.369703304087952,26.682518995254277,-1,420,binary,auc
0.7449688003220611,100,0.34017547303104523,23,27,0.3,4.537237063292064,9.538159275210802,87.58529403781941,-1,170,binary,auc
0.791790458937198,100,0.9718880988701143,16,32,0.2,8.70518569836767,2.9844479144863287,63.89494948660052,-1,390,binary,auc
0.8029055958132045,100,0.19891110176473303,28,48,0.3,5.393790301196257,7.7862647863055825,53.035367219517745,-1,10,binary,auc
0.7408363526570048,100,0.598944584460229,36,1,0.2,9.29098616264617,8.787218778231843,83.16655293611794,-1,200,binary,auc
0.8778049516908213,100,0.2394523103380588,20,36,0.2,0.8565345206787878,4.8599046331661375,6.921251846838361,-1,490,binary,auc
0.7941193639291464,100,0.5327061695295157,13,8,0.8,9.46848679704991,1.6512695897412766,52.7673787418254,-1,390,binary,auc
0.8050030193236715,100,0.4231379402008869,18,34,0.4,7.129489728191219,3.9899229999742913,67.16869596382831,-1,240,binary,auc
0.9010909822866345,100,0.43810008391450406,38,28,0.2,2.4790561366600796,0.6402589632634492,2.103426000705888,-1,360,binary,auc
0.8670460950080515,100,0.230114732596577,19,0,0.2,7.07840946548454,0.588737668763234,6.7400328110307495,-1,30,binary,auc
0.8097805958132045,100,0.8596354002537465,9,32,0.4,2.7847726396454697,4.854144991504907,53.923393139475465,-1,470,binary,auc
0.8152224235104669,100,0.935514240580671,41,36,0.8,2.429972423957245,4.729729429445937,40.70599614859366,-1,70,binary,auc
0.8705324074074074,100,0.09693081422882333,32,22,0.7,4.111022760497381,8.638367483696033,5.417118723217051,-1,420,binary,auc
0.828954307568438,100,0.9841652113659661,11,3,0.7,7.282135884411827,8.005925108616989,10.9269032244804,-1,130,binary,auc
0.8183705716586152,100,0.1902089084408115,33,8,0.7,1.8348803578723327,4.626280684009673,87.448595407058,-1,50,binary,auc
0.8796719001610306,100,0.44313074505345695,40,6,0.1,6.521448939985221,5.40587938100305,1.4757856495650534,-1,60,binary,auc
0.8119595410628019,100,0.9263669830081276,20,10,0.7,4.856411254507185,2.1374729919918165,40.10402925494526,-1,40,binary,auc
0.8245118760064413,100,0.16463712140152686,5,24,0.5,9.265180735593333,7.851293567941216,28.52492289469203,-1,450,binary,auc
0.783888888888889,100,0.9573176408596732,40,42,0.8,1.5479682527406413,2.9670782549456423,96.87093649691589,-1,380,binary,auc
0.8021618357487923,100,0.7357371787890434,8,47,0.6,0.5716527290748308,5.841775944589712,50.28503829195136,-1,340,binary,auc
0.8238687600644122,100,0.15743272793948326,37,5,0.3,0.6852133270379235,0.6796086337575724,86.18192019701294,-1,260,binary,auc
0.8141143317230274,100,0.11988661394712419,41,15,1.0,5.945191535334412,6.193815103321031,41.92249153358725,-1,380,binary,auc
0.8042270531400966,100,0.5652269238440895,25,16,0.4,6.697259747698292,3.141838627955761,26.56145125313538,-1,90,binary,auc
0.8737037037037036,100,0.6716902229599713,24,29,0.6,9.290183317055142,9.357342874448234,0.9315456884246398,-1,400,binary,auc
0.7516727053140098,100,0.9984544408544423,11,4,0.9,2.1315431226704042,2.6520041475040133,93.3259377993709,-1,50,binary,auc
0.8164814814814816,100,0.8792702424845428,28,18,0.3,4.3818457300770985,5.432179622615868,30.251714297888988,-1,420,binary,auc
0.7702194041867955,100,0.5289406926022701,47,35,0.5,9.317560394360774,1.035865019182115,87.81269649735921,-1,170,binary,auc
0.8553492351046699,100,0.11542867041910221,11,47,0.9,1.5544790977499046,2.817562714578943,21.062965480694306,-1,220,binary,auc
