iter,auc,time,verbosity,objective,metric,threads,eta,max_leaf,min_data,feature_frac,alpha,lambda,min_gain,max_bin
50,0.7757588566827698,0.5284271240234375,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,0,500
51,0.7528109903381643,0.3453209400177002,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,50,100
52,0.7528109903381643,0.34367799758911133,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,50,255
53,0.7528109903381643,0.3426229953765869,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,50,500
54,0.6563999597423511,0.31009411811828613,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,100,100
55,0.6563999597423511,0.30903196334838867,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,100,255
56,0.6563999597423511,0.30931615829467773,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,100,500
57,0.4728381642512077,0.2911868095397949,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,250,100
58,0.4728381642512077,0.28811120986938477,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,250,255
59,0.4728381642512077,0.28849101066589355,-1,binary,auc,9,0.001,5,5,0.1,0.0,25,250,500
60,0.8247181964573269,0.5395591259002686,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,0,100
61,0.8247181964573269,0.5191328525543213,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,0,255
62,0.8247181964573269,0.531825065612793,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,0,500
63,0.804837962962963,0.3744068145751953,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,50,100
64,0.804837962962963,0.38071203231811523,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,50,255
65,0.804837962962963,0.37714195251464844,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,50,500
66,0.7774607487922705,0.3501460552215576,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,100,100
67,0.7774607487922705,0.34618115425109863,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,100,255
68,0.7774607487922705,0.5026299953460693,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,100,500
69,0.6838214573268921,0.351513147354126,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,250,100
70,0.6838214573268921,0.584414005279541,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,250,255
71,0.6838214573268921,0.311704158782959,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.0,250,500
72,0.8248470209339775,0.5293731689453125,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,0,100
73,0.8248470209339775,0.5412271022796631,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,0,255
74,0.8248470209339775,0.5379841327667236,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,0,500
75,0.8047453703703704,0.38457798957824707,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,50,100
76,0.8047453703703704,0.379270076751709,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,50,255
77,0.8047453703703704,0.377856969833374,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,50,500
78,0.7776016505636071,0.34780287742614746,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,100,100
79,0.7776016505636071,0.34948134422302246,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,100,255
80,0.7776016505636071,0.35109710693359375,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,100,500
81,0.6838214573268921,0.3189399242401123,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,250,100
82,0.6838214573268921,0.3195929527282715,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,250,255
83,0.6838214573268921,0.32337093353271484,-1,binary,auc,9,0.001,5,5,0.1,0.01,0.01,250,500
84,0.8225623993558776,0.5324709415435791,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,0,100
85,0.8225623993558776,0.5328867435455322,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,0,255
86,0.8225623993558776,0.5639989376068115,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,0,500
87,0.8011684782608695,0.3724508285522461,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,50,100
88,0.8011684782608695,0.3730001449584961,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,50,255
89,0.8011684782608695,0.3684971332550049,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,50,500
90,0.7778733896940419,0.33379411697387695,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,100,100
91,0.7778733896940419,0.33733201026916504,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,100,255
92,0.7778733896940419,0.34069132804870605,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,100,500
93,0.6837832125603864,0.3159632682800293,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,250,100
94,0.6837832125603864,0.318267822265625,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,250,255
95,0.6837832125603864,0.31684184074401855,-1,binary,auc,9,0.001,5,5,0.1,0.01,1,250,500
96,0.8115187198067634,0.5254173278808594,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,0,100
97,0.8115187198067634,0.5326991081237793,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,0,255
98,0.8115187198067634,0.5447721481323242,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,0,500
99,0.797637882447665,0.36926984786987305,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,50,100
100,0.797637882447665,0.3675801753997803,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,50,255
101,0.797637882447665,0.36441493034362793,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,50,500
102,0.772000805152979,0.33712005615234375,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,100,100
103,0.772000805152979,0.33753299713134766,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,100,255
104,0.772000805152979,0.33590078353881836,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,100,500
105,0.6463758051529791,0.30805397033691406,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,250,100
106,0.6463758051529791,0.3049650192260742,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,250,255
107,0.6463758051529791,0.3214089870452881,-1,binary,auc,9,0.001,5,5,0.1,0.01,5,250,500
108,0.7757950885668277,0.5340890884399414,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,0,100
109,0.7757950885668277,0.5232598781585693,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,0,255
110,0.7757950885668277,0.5307037830352783,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,0,500
111,0.7528109903381643,0.34574103355407715,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,50,100
112,0.7528109903381643,0.3506162166595459,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,50,255
113,0.7528109903381643,0.34622788429260254,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,50,500
114,0.6563999597423511,0.3163750171661377,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,100,100
115,0.6563999597423511,0.31546902656555176,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,100,255
116,0.6563999597423511,0.3118429183959961,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,100,500
117,0.4728381642512077,0.2902038097381592,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,250,100
118,0.4728381642512077,0.29134488105773926,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,250,255
119,0.4728381642512077,0.28980422019958496,-1,binary,auc,9,0.001,5,5,0.1,0.01,25,250,500
120,0.8242451690821256,0.5280439853668213,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,0,100
121,0.8242451690821256,0.5318961143493652,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,0,255
122,0.8242451690821256,0.5271339416503906,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,0,500
123,0.8030032206119163,0.3824019432067871,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,50,100
124,0.8030032206119163,0.3787038326263428,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,50,255
125,0.8030032206119163,0.37538886070251465,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,50,500
126,0.7771306360708534,0.3474128246307373,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,100,100
127,0.7771306360708534,0.34743690490722656,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,100,255
128,0.7771306360708534,0.350477933883667,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,100,500
129,0.6838214573268921,0.31893014907836914,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,250,100
130,0.6838214573268921,0.3220341205596924,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,250,255
131,0.6838214573268921,0.31514978408813477,-1,binary,auc,9,0.001,5,5,0.1,1,0.0,250,500
132,0.8241384863123993,0.5311520099639893,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,0,100
133,0.8241384863123993,0.5197937488555908,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,0,255
134,0.8241384863123993,0.5301527976989746,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,0,500
135,0.8029891304347827,0.37650203704833984,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,50,100
136,0.8029891304347827,0.3781397342681885,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,50,255
137,0.8029891304347827,0.42690181732177734,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,50,500
138,0.7771306360708534,0.3468928337097168,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,100,100
139,0.7771306360708534,0.34564900398254395,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,100,255
140,0.7771306360708534,0.35121583938598633,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,100,500
141,0.6838214573268921,0.317047119140625,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,250,100
142,0.6838214573268921,0.32147693634033203,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,250,255
143,0.6838214573268921,0.29881715774536133,-1,binary,auc,9,0.001,5,5,0.1,1,0.01,250,500
144,0.8201177536231885,0.5208280086517334,-1,binary,auc,9,0.001,5,5,0.1,1,1,0,100
145,0.8201177536231885,0.5361268520355225,-1,binary,auc,9,0.001,5,5,0.1,1,1,0,255
146,0.8201177536231885,0.5325009822845459,-1,binary,auc,9,0.001,5,5,0.1,1,1,0,500
147,0.8007065217391303,0.37282896041870117,-1,binary,auc,9,0.001,5,5,0.1,1,1,50,100
148,0.8007065217391303,0.3715400695800781,-1,binary,auc,9,0.001,5,5,0.1,1,1,50,255
149,0.8007065217391303,0.37190699577331543,-1,binary,auc,9,0.001,5,5,0.1,1,1,50,500
150,0.7768186392914654,0.3421509265899658,-1,binary,auc,9,0.001,5,5,0.1,1,1,100,100
151,0.7768186392914654,0.3400568962097168,-1,binary,auc,9,0.001,5,5,0.1,1,1,100,255
152,0.7768186392914654,0.3352339267730713,-1,binary,auc,9,0.001,5,5,0.1,1,1,100,500
153,0.6729599436392915,0.3155820369720459,-1,binary,auc,9,0.001,5,5,0.1,1,1,250,100
154,0.6729599436392915,0.3172159194946289,-1,binary,auc,9,0.001,5,5,0.1,1,1,250,255
155,0.6729599436392915,0.31636619567871094,-1,binary,auc,9,0.001,5,5,0.1,1,1,250,500
156,0.8098782206119162,0.5392599105834961,-1,binary,auc,9,0.001,5,5,0.1,1,5,0,100
157,0.8098782206119162,0.5324568748474121,-1,binary,auc,9,0.001,5,5,0.1,1,5,0,255
158,0.8098782206119162,0.517509937286377,-1,binary,auc,9,0.001,5,5,0.1,1,5,0,500
159,0.795239533011272,0.36792516708374023,-1,binary,auc,9,0.001,5,5,0.1,1,5,50,100
160,0.795239533011272,0.3597090244293213,-1,binary,auc,9,0.001,5,5,0.1,1,5,50,255
161,0.795239533011272,0.3885171413421631,-1,binary,auc,9,0.001,5,5,0.1,1,5,50,500
