auc,depth,iterations,learning_rate,l2_leaf_reg,scale_pos_weight,verbose
0.8276459339774557,3,10,0.001,0,1,True
0.8406934380032207,3,10,0.001,0,10,True
0.7568357487922706,3,10,0.001,0,100,True
0.8332910628019323,3,10,0.001,1,1,True
0.8451690821256038,3,10,0.001,1,10,True
0.7416153381642511,3,10,0.001,1,100,True
0.8340619967793881,3,10,0.001,2,1,True
0.8459963768115941,3,10,0.001,2,10,True
0.740871578099839,3,10,0.001,2,100,True
0.8338506441223833,3,10,0.001,3,1,True
0.8495903784219001,3,10,0.001,3,10,True
0.7410547504025765,3,10,0.001,3,100,True
0.8340458937198069,3,10,0.001,5,1,True
0.8463778180354267,3,10,0.001,5,10,True
0.7405696457326891,3,10,0.001,5,100,True
0.8340619967793882,3,10,0.001,10,1,True
0.846448268921095,3,10,0.001,10,10,True
0.7376227858293076,3,10,0.001,10,100,True
0.8328854669887278,3,10,0.001,25,1,True
0.8545450885668278,3,10,0.001,25,10,True
0.7313687600644122,3,10,0.001,25,100,True
0.8280998389694042,3,10,0.01,0,1,True
0.8425140901771337,3,10,0.01,0,10,True
0.7763627214170692,3,10,0.01,0,100,True
0.8326610305958132,3,10,0.01,1,1,True
0.845360305958132,3,10,0.01,1,10,True
0.7391555958132046,3,10,0.01,1,100,True
0.8347101449275363,3,10,0.01,2,1,True
0.8436080917874398,3,10,0.01,2,10,True
0.7411352657004829,3,10,0.01,2,100,True
0.8344907407407407,3,10,0.01,3,1,True
0.8501308373590983,3,10,0.01,3,10,True
0.7414734299516909,3,10,0.01,3,100,True
0.8346296296296296,3,10,0.01,5,1,True
0.8496286231884058,3,10,0.01,5,10,True
0.7410245571658614,3,10,0.01,5,100,True
0.8349335748792269,3,10,0.01,10,1,True
0.8513214573268921,3,10,0.01,10,10,True
0.7387942834138486,3,10,0.01,10,100,True
0.8331572061191627,3,10,0.01,25,1,True
0.8522916666666667,3,10,0.01,25,10,True
0.7366183574879227,3,10,0.01,25,100,True
0.8635919887278584,3,10,0.1,0,1,True
0.8636825684380032,3,10,0.1,0,10,True
0.7517230273752014,3,10,0.1,0,100,True
0.861712962962963,3,10,0.1,1,1,True
0.8710295893719806,3,10,0.1,1,10,True
0.7799808776167472,3,10,0.1,1,100,True
0.8639392109500805,3,10,0.1,2,1,True
0.8706823671497586,3,10,0.1,2,10,True
0.7714824879227054,3,10,0.1,2,100,True
0.8639633655394524,3,10,0.1,3,1,True
0.8689160628019323,3,10,0.1,3,10,True
0.7706290257648952,3,10,0.1,3,100,True
0.8638959339774557,3,10,0.1,5,1,True
0.8701650563607085,3,10,0.1,5,10,True
0.7704700080515299,3,10,0.1,5,100,True
0.8632618760064412,3,10,0.1,10,1,True
0.8702415458937198,3,10,0.1,10,10,True
0.7678995571658616,3,10,0.1,10,100,True
0.8606803542673109,3,10,0.1,25,1,True
0.8698047504025765,3,10,0.1,25,10,True
0.764278381642512,3,10,0.1,25,100,True
0.8736564009661836,3,10,0.5,0,1,True
0.844043880837359,3,10,0.5,0,10,True
0.7947051127214171,3,10,0.5,0,100,True
0.8913969404186795,3,10,0.5,1,1,True
0.8807669082125603,3,10,0.5,1,10,True
0.8156018518518519,3,10,0.5,1,100,True
0.8861241948470209,3,10,0.5,2,1,True
0.8758574879227052,3,10,0.5,2,10,True
0.8203019323671497,3,10,0.5,2,100,True
0.8944655797101448,3,10,0.5,3,1,True
0.8771024557165861,3,10,0.5,3,10,True
0.8124043880837359,3,10,0.5,3,100,True
0.8949446457326893,3,10,0.5,5,1,True
0.8799688003220612,3,10,0.5,5,10,True
0.8144444444444444,3,10,0.5,5,100,True
0.8904840982286635,3,10,0.5,10,1,True
0.8835416666666667,3,10,0.5,10,10,True
0.8146819645732688,3,10,0.5,10,100,True
0.883155193236715,3,10,0.5,25,1,True
0.8838778180354268,3,10,0.5,25,10,True
0.8063506441223832,3,10,0.5,25,100,True
0.8489895330112721,3,50,0.001,0,1,True
0.8675905797101449,3,50,0.001,0,10,True
0.7505293880837358,3,50,0.001,0,100,True
0.8514371980676328,3,50,0.001,1,1,True
0.8617532206119163,3,50,0.001,1,10,True
0.7626449275362318,3,50,0.001,1,100,True
0.8419303542673109,3,50,0.001,2,1,True
0.8574436392914655,3,50,0.001,2,10,True
0.758803341384863,3,50,0.001,2,100,True
0.8426610305958132,3,50,0.001,3,1,True
0.8564975845410628,3,50,0.001,3,10,True
0.7580485104669887,3,50,0.001,3,100,True
0.8408665458937199,3,50,0.001,5,1,True
0.8549506843800323,3,50,0.001,5,10,True
0.7565831320450885,3,50,0.001,5,100,True
0.8377667069243155,3,50,0.001,10,1,True
0.8539995974235104,3,50,0.001,10,10,True
0.7532779790660226,3,50,0.001,10,100,True
0.8329539049919484,3,50,0.001,25,1,True
0.854639694041868,3,50,0.001,25,10,True
0.7469384057971016,3,50,0.001,25,100,True
0.8644887278582931,3,50,0.01,0,1,True
0.8699285426731079,3,50,0.01,0,10,True
0.7708454106280194,3,50,0.01,0,100,True
0.8524587359098229,3,50,0.01,1,1,True
0.8645148953301127,3,50,0.01,1,10,True
0.7733695652173913,3,50,0.01,1,100,True
0.8567542270531401,3,50,0.01,2,1,True
0.8644585346215782,3,50,0.01,2,10,True
0.7670159017713365,3,50,0.01,2,100,True
0.8545249597423511,3,50,0.01,3,1,True
0.8668900966183575,3,50,0.01,3,10,True
0.7683071658615137,3,50,0.01,3,100,True
0.8538858695652174,3,50,0.01,5,1,True
0.8637832125603865,3,50,0.01,5,10,True
0.7672101449275363,3,50,0.01,5,100,True
0.8506894122383253,3,50,0.01,10,1,True
0.8636453301127215,3,50,0.01,10,10,True
0.7623389694041868,3,50,0.01,10,100,True
0.8455746779388084,3,50,0.01,25,1,True
0.8623611111111111,3,50,0.01,25,10,True
0.7548580917874397,3,50,0.01,25,100,True
0.8779589371980676,3,50,0.1,0,1,True
0.8825422705314009,3,50,0.1,0,10,True
0.8019806763285025,3,50,0.1,0,100,True
0.8910748792270531,3,50,0.1,1,1,True
0.894471618357488,3,50,0.1,1,10,True
0.8488254830917874,3,50,0.1,1,100,True
0.8928039452495975,3,50,0.1,2,1,True
0.8897051127214172,3,50,0.1,2,10,True
0.8440358293075685,3,50,0.1,2,100,True
0.8932155797101449,3,50,0.1,3,1,True
0.894405193236715,3,50,0.1,3,10,True
0.8447383252818036,3,50,0.1,3,100,True
0.8962852254428342,3,50,0.1,5,1,True
0.8917089371980675,3,50,0.1,5,10,True
0.8428623188405797,3,50,0.1,5,100,True
0.8936221819645731,3,50,0.1,10,1,True
0.8923087761674718,3,50,0.1,10,10,True
0.8433182367149759,3,50,0.1,10,100,True
0.8929911433172304,3,50,0.1,25,1,True
0.8922574476650564,3,50,0.1,25,10,True
0.8452797906602254,3,50,0.1,25,100,True
0.8126398953301126,3,50,0.5,0,1,True
0.7919202898550723,3,50,0.5,0,10,True
0.7035748792270531,3,50,0.5,0,100,True
0.8734400161030595,3,50,0.5,1,1,True
0.8526167471819646,3,50,0.5,1,10,True
0.8287268518518518,3,50,0.5,1,100,True
0.8709681964573268,3,50,0.5,2,1,True
0.8655404589371981,3,50,0.5,2,10,True
0.8365942028985508,3,50,0.5,2,100,True
0.8752334943639293,3,50,0.5,3,1,True
0.8596004428341385,3,50,0.5,3,10,True
0.8448510466988728,3,50,0.5,3,100,True
0.8803613123993558,3,50,0.5,5,1,True
0.8663023349436394,3,50,0.5,5,10,True
0.8479096215780999,3,50,0.5,5,100,True
0.8878311191626409,3,50,0.5,10,1,True
0.8822514090177134,3,50,0.5,10,10,True
0.8506763285024155,3,50,0.5,10,100,True
0.8887791867954911,3,50,0.5,25,1,True
0.880240539452496,3,50,0.5,25,10,True
0.8533212560386474,3,50,0.5,25,100,True
0.8552415458937199,3,100,0.001,0,1,True
0.8680515297906601,3,100,0.001,0,10,True
0.7600150966183574,3,100,0.001,0,100,True
0.8470662238325282,3,100,0.001,1,1,True
0.8660054347826087,3,100,0.001,1,10,True
0.7801429146537842,3,100,0.001,1,100,True
0.8461382850241546,3,100,0.001,2,1,True
0.85795692431562,3,100,0.001,2,10,True
0.7760809178743961,3,100,0.001,2,100,True
0.8376952495974235,3,100,0.001,3,1,True
0.859266304347826,3,100,0.001,3,10,True
0.7751368760064412,3,100,0.001,3,100,True
0.8370994363929147,3,100,0.001,5,1,True
0.8576559983896939,3,100,0.001,5,10,True
0.7736392914653784,3,100,0.001,5,100,True
0.8347463768115941,3,100,0.001,10,1,True
0.8563747987117551,3,100,0.001,10,10,True
0.7711151368760064,3,100,0.001,10,100,True
0.8300231481481481,3,100,0.001,25,1,True
0.8578884863123993,3,100,0.001,25,10,True
0.7642914653784219,3,100,0.001,25,100,True
0.8755827294685992,3,100,0.01,0,1,True
0.8767039049919485,3,100,0.01,0,10,True
0.8029961755233495,3,100,0.01,0,100,True
0.874032809983897,3,100,0.01,1,1,True
0.8788566827697264,3,100,0.01,1,10,True
0.795678341384863,3,100,0.01,1,100,True
0.8727908615136877,3,100,0.01,2,1,True
0.8755032206119162,3,100,0.01,2,10,True
0.7937188003220612,3,100,0.01,2,100,True
0.8722383252818036,3,100,0.01,3,1,True
0.8759571256038647,3,100,0.01,3,10,True
0.7916153381642511,3,100,0.01,3,100,True
0.8706642512077294,3,100,0.01,5,1,True
0.8743750000000001,3,100,0.01,5,10,True
0.7901097020933977,3,100,0.01,5,100,True
0.8681078904991948,3,100,0.01,10,1,True
0.8751761272141706,3,100,0.01,10,10,True
0.7869575281803542,3,100,0.01,10,100,True
0.8661171497584541,3,100,0.01,25,1,True
0.8744414251207728,3,100,0.01,25,10,True
0.7832648953301127,3,100,0.01,25,100,True
0.8666394927536232,3,100,0.1,0,1,True
0.8737067230273752,3,100,0.1,0,10,True
0.7894343800322061,3,100,0.1,0,100,True
0.8940529388083736,3,100,0.1,1,1,True
0.8905797101449275,3,100,0.1,1,10,True
0.8441495571658616,3,100,0.1,1,100,True
