auc,loss_function,verbose,eval_metric,random_seed,thread_count,iterations,depth,learning_rate,reg_lambda,scale_pos_weight,min_data_in_leaf
0.8766243961352658,Logloss,False,AUC,42,7,500,1,0.01,0,0.1,5
0.8766243961352658,Logloss,False,AUC,42,7,500,1,0.01,0,0.1,10
0.8766243961352658,Logloss,False,AUC,42,7,500,1,0.01,0,0.1,50
0.8766243961352658,Logloss,False,AUC,42,7,500,1,0.01,0,0.1,100
0.8994394122383252,Logloss,False,AUC,42,7,500,1,0.01,0,1,5
0.8994394122383252,Logloss,False,AUC,42,7,500,1,0.01,0,1,10
0.8994394122383252,Logloss,False,AUC,42,7,500,1,0.01,0,1,50
0.8994394122383252,Logloss,False,AUC,42,7,500,1,0.01,0,1,100
0.9152495974235104,Logloss,False,AUC,42,7,500,1,0.01,0,10,5
0.9152495974235104,Logloss,False,AUC,42,7,500,1,0.01,0,10,10
0.9152495974235104,Logloss,False,AUC,42,7,500,1,0.01,0,10,50
0.9152495974235104,Logloss,False,AUC,42,7,500,1,0.01,0,10,100
0.8491384863123994,Logloss,False,AUC,42,7,500,1,0.01,0.1,0.1,5
0.8491384863123994,Logloss,False,AUC,42,7,500,1,0.01,0.1,0.1,10
0.8491384863123994,Logloss,False,AUC,42,7,500,1,0.01,0.1,0.1,50
0.8491384863123994,Logloss,False,AUC,42,7,500,1,0.01,0.1,0.1,100
0.8975493156199679,Logloss,False,AUC,42,7,500,1,0.01,0.1,1,5
0.8975493156199679,Logloss,False,AUC,42,7,500,1,0.01,0.1,1,10
0.8975493156199679,Logloss,False,AUC,42,7,500,1,0.01,0.1,1,50
0.8975493156199679,Logloss,False,AUC,42,7,500,1,0.01,0.1,1,100
0.9113274959742351,Logloss,False,AUC,42,7,500,1,0.01,0.1,10,5
0.9113274959742351,Logloss,False,AUC,42,7,500,1,0.01,0.1,10,10
0.9113274959742351,Logloss,False,AUC,42,7,500,1,0.01,0.1,10,50
0.9113274959742351,Logloss,False,AUC,42,7,500,1,0.01,0.1,10,100
0.7927465780998388,Logloss,False,AUC,42,7,500,1,0.01,1,0.1,5
0.7927465780998388,Logloss,False,AUC,42,7,500,1,0.01,1,0.1,10
