iter	Logloss
0	0.6821027777
1	0.670411888
2	0.6593180269
3	0.6478385175
4	0.6359689978
5	0.6259899558
6	0.6136136096
7	0.6041652277
8	0.5939078628
9	0.5838140508
10	0.5748796569
11	0.5656409723
12	0.5557578121
13	0.5486405432
14	0.5406114141
15	0.5325350245
16	0.5247815376
17	0.516130906
18	0.5089989497
19	0.5019560662
20	0.4947595958
21	0.4872696016
22	0.4799230577
23	0.4739109997
24	0.4672281697
25	0.4606764751
26	0.4549486805
27	0.4490312287
28	0.4423925286
29	0.4364236085
30	0.430804263
31	0.4238244727
32	0.4184205741
33	0.4132009525
34	0.4079814596
35	0.4028137387
36	0.3984910423
37	0.3943141477
38	0.3891260345
39	0.3840182745
40	0.3799349475
41	0.3757717488
42	0.3721013006
43	0.3684253998
44	0.3632631866
45	0.3590057453
46	0.3539787049
47	0.3500983611
48	0.3462642643
49	0.3427034206
50	0.3396441055
51	0.3357418331
52	0.3328468566
53	0.3301425052
54	0.3267779857
55	0.3233837628
56	0.3200820501
57	0.3166922283
58	0.3140210983
59	0.311705432
60	0.309343399
61	0.3069842586
62	0.3043600628
63	0.3022655567
64	0.3001843414
65	0.2978884317
66	0.2959149101
67	0.2935172855
68	0.2912031873
69	0.2886772837
70	0.2859450213
71	0.2838947601
72	0.2814923174
73	0.2795254236
74	0.2773950816
75	0.2754869612
76	0.2737320619
77	0.2721988661
78	0.2702212916
79	0.2685348428
80	0.2668501865
81	0.2655194558
82	0.2641072815
83	0.2619689951
84	0.2604753434
85	0.259018261
86	0.2574039337
87	0.2562752128
88	0.2546356855
89	0.2535965922
90	0.2519799122
91	0.2499861837
92	0.2486488961
93	0.2470768256
94	0.2454266612
95	0.2440933757
96	0.2425246285
97	0.2416316742
98	0.2401984384
99	0.2393204704
100	0.2383543744
101	0.2367955948
102	0.2354929006
103	0.2341115939
104	0.233106773
105	0.2319960272
106	0.2311390897
107	0.2303290232
108	0.2290534993
109	0.2281848004
110	0.226684028
111	0.2256680866
112	0.2245062116
113	0.223332658
114	0.2225503481
115	0.2214233136
116	0.2207725757
117	0.2198004092
118	0.2192441877
119	0.2185078532
120	0.2176047595
121	0.216601038
122	0.2155312729
123	0.2145759648
124	0.2136913417
125	0.2129590141
126	0.2120059325
127	0.211086508
128	0.2104590803
129	0.2096785556
130	0.2089954095
131	0.2082970885
132	0.2074074467
133	0.2066331878
134	0.2061272421
135	0.2056806177
136	0.2049840462
137	0.204339222
138	0.2035601646
139	0.2026245913
140	0.202026518
141	0.2013344629
142	0.2009180335
143	0.2000458173
144	0.1996974691
145	0.1990940748
146	0.1986835246
147	0.1982376167
148	0.1977636773
149	0.1970627589
150	0.1966387436
151	0.1961360065
152	0.1957433609
153	0.1953024347
154	0.1949459268
155	0.1944570247
156	0.1941655908
157	0.1937930435
158	0.1932504762
159	0.1928526328
160	0.1925268517
161	0.1921558907
162	0.1918424133
163	0.1912147936
164	0.1904822271
165	0.1901846537
166	0.1900010251
167	0.1893833977
168	0.189042499
169	0.1886597232
170	0.1881905411
171	0.187957584
172	0.1875909691
173	0.1871423974
174	0.1868921283
175	0.186624487
176	0.1863206256
177	0.1858939706
178	0.1853800741
179	0.1851496341
180	0.1847615345
181	0.1844006771
182	0.1841733043
183	0.1837866082
184	0.1833226989
185	0.1830085635
186	0.1827062115
187	0.1823705543
188	0.1819611197
189	0.1816833258
190	0.1814474966
191	0.1811875038
192	0.1807993181
193	0.1805066844
194	0.1802163173
195	0.179783109
196	0.179374534
197	0.1791773819
198	0.1788300418
199	0.1786417876
200	0.1783793525
201	0.1780645301
202	0.1778069924
203	0.1774963415
204	0.1770936941
205	0.1769237741
206	0.1767458567
207	0.176594544
208	0.1764311849
209	0.1761177855
210	0.1757780471
211	0.1755855147
212	0.175311249
213	0.1750644404
214	0.1748806972
215	0.1747570995
216	0.1745728451
217	0.1742913341
218	0.1741080534
219	0.1739335901
220	0.1736156949
221	0.1734449148
222	0.1730914261
223	0.1729810451
224	0.172713724
225	0.1726049269
226	0.1722187337
227	0.171956373
228	0.1716701047
229	0.1714793182
230	0.1712762255
231	0.1709899267
232	0.1708383512
233	0.1706715782
234	0.170480303
235	0.1703192507
236	0.1699828482
237	0.169862978
238	0.169697784
239	0.1693823321
240	0.16927118
241	0.1690337847
242	0.1687461792
243	0.1685863018
244	0.1682139186
245	0.1679611024
246	0.1678438054
247	0.1676329332
248	0.1674766252
249	0.1672223267
250	0.1671167237
251	0.1668898011
252	0.1667607277
253	0.1665102729
254	0.1662178993
255	0.1660471889
256	0.1657282306
257	0.1655559819
258	0.16545729
259	0.16533167
260	0.165244119
261	0.1651513916
262	0.1650538541
263	0.1648337481
264	0.1646383161
265	0.164515256
266	0.164265135
267	0.1641529319
268	0.1639936736
269	0.1638012728
270	0.1636807421
271	0.1635826882
272	0.1634796626
273	0.1632823239
274	0.163062418
275	0.1629349505
276	0.16282233
277	0.1626606529
278	0.1624109486
279	0.1622999643
280	0.1622163739
281	0.1619238928
282	0.1617247611
283	0.1615786841
284	0.1614604406
285	0.1613220996
286	0.1612330177
287	0.1609759347
288	0.1608420317
289	0.1606151286
290	0.1605344225
291	0.1604141427
292	0.1601883373
293	0.1599819402
294	0.1598602215
295	0.1597141218
296	0.1596165195
297	0.1595568557
298	0.159466688
299	0.1592102826
300	0.1590924205
301	0.1589361826
302	0.1588347324
303	0.1586408495
304	0.1585071198
305	0.1583587738
306	0.1582228074
307	0.1581282817
308	0.1580183428
309	0.1579065882
310	0.1577636049
311	0.1576165775
312	0.1574053654
313	0.1572639802
314	0.1572059204
315	0.1569880016
316	0.1568763273
317	0.1567102676
318	0.1565488327
319	0.1565201552
320	0.1564535396
321	0.156231386
322	0.1560202535
323	0.15594847
324	0.1558360428
325	0.1556434461
326	0.1556044394
327	0.1554437738
328	0.1553515331
329	0.1552829145
330	0.1552224127
331	0.1551164989
332	0.1549715726
333	0.1549239498
334	0.1548575754
335	0.1546852155
336	0.1545752483
337	0.1544510321
338	0.1542707158
339	0.1541813991
340	0.1541049437
341	0.1539894083
342	0.1538887721
343	0.1537821157
344	0.1535379971
345	0.1533307487
346	0.1532301861
347	0.153029447
348	0.1529170628
349	0.1528200916
350	0.152709623
351	0.1526347017
352	0.152628557
353	0.1524668949
354	0.1523616109
355	0.1522684308
356	0.1521625817
357	0.1520829048
358	0.1519882402
359	0.1518740549
360	0.151800054
361	0.15172075
362	0.1516211584
363	0.1515485351
364	0.1514991749
365	0.1514219965
366	0.1513088248
367	0.1511406217
368	0.1510751338
369	0.150954963
370	0.1507838379
371	0.1507196778
372	0.1506348449
373	0.1505285246
374	0.1503685747
375	0.1502455975
376	0.1501267808
377	0.1500091274
378	0.149884892
379	0.1497933118
380	0.1496393784
381	0.1495519152
382	0.1495214074
383	0.1493346767
384	0.1491477225
385	0.149106874
386	0.149020673
387	0.1488844557
388	0.1487684917
389	0.1486906057
390	0.148641559
391	0.1485799931
392	0.1484223286
393	0.1483004512
394	0.1482079441
395	0.1481424331
396	0.1480101085
397	0.1479271882
398	0.1478178076
399	0.1476907619
400	0.1475826773
401	0.1474205468
402	0.1473250711
403	0.1471435348
404	0.1470391667
405	0.1470129974
406	0.146931542
407	0.1466886048
408	0.1465969673
409	0.1465061814
410	0.146412921
411	0.1462826612
412	0.1461295881
413	0.1459886675
414	0.1459081958
415	0.1457875074
416	0.1456837584
417	0.1456011488
418	0.1455322027
419	0.14544039
420	0.1453835706
421	0.1452926185
422	0.1452317297
423	0.145192273
424	0.1450763778
425	0.144881259
426	0.1447653995
427	0.1446451634
428	0.1445356675
429	0.1444422421
430	0.1443932774
431	0.1443161873
432	0.1442116425
433	0.1441640869
434	0.1440626847
435	0.1439968472
436	0.1439233161
437	0.1438622013
438	0.1438247498
439	0.1436708444
440	0.1436057396
441	0.1435537476
442	0.1434602085
443	0.1433638105
444	0.1433011954
445	0.1431076808
446	0.1430079162
447	0.1429639058
448	0.1428870953
449	0.1428262571
450	0.1427300813
451	0.1426119458
452	0.1425945884
453	0.1425095573
454	0.1423941103
455	0.1422983929
456	0.1421954739
457	0.1421568331
458	0.1421234236
459	0.1419927458
460	0.1419516572
461	0.1418298401
462	0.1417777002
463	0.141747927
464	0.1416874734
465	0.1415396239
466	0.1414306902
467	0.1413631628
468	0.1412605311
469	0.1411961451
470	0.1411479277
471	0.1410557274
472	0.1409968525
473	0.1409445311
474	0.1409030906
475	0.140832574
476	0.1407691051
477	0.1406961821
478	0.1406377327
479	0.1405884312
480	0.1405292019
481	0.1404209471
482	0.1403994429
483	0.1403383625
484	0.1402520272
485	0.1401612996
486	0.140092003
487	0.1400018675
488	0.1399237004
489	0.1398481569
490	0.1396838036
491	0.139640235
492	0.13953686
493	0.139437585
494	0.1393533217
495	0.1392814365
496	0.1391930717
497	0.1390911703
498	0.1389473463
499	0.1388808252
500	0.1388419365
501	0.1387438615
502	0.1386930429
503	0.1386183699
504	0.1385638594
505	0.1384739761
506	0.1383526895
507	0.1382885314
508	0.1381448205
509	0.1380945874
510	0.1380053385
511	0.137967369
512	0.1379244925
513	0.1378377007
514	0.1377398425
515	0.1375756198
516	0.1375099244
517	0.1374624512
518	0.1373565751
519	0.137313051
520	0.1371229447
521	0.1369337321
522	0.1368834116
523	0.1368539007
524	0.136806815
525	0.1367306324
526	0.1366385509
527	0.1365270942
528	0.136477114
529	0.1363588439
530	0.1363167224
531	0.1362388428
532	0.1361712865
533	0.1360639337
534	0.1359792875
535	0.1359488377
536	0.1358876591
537	0.1358288829
538	0.1356760595
539	0.1356140414
540	0.1355573576
541	0.1354502895
542	0.1353848138
543	0.1353461897
544	0.1352431294
545	0.1351955663
546	0.1351031329
547	0.1350077045
548	0.1349816595
549	0.134895416
550	0.1348446526
551	0.134821737
552	0.134756859
553	0.1346669963
554	0.1346381308
555	0.1345150206
556	0.1344363993
557	0.1343958145
558	0.1343572292
559	0.1343204848
560	0.1342369656
561	0.1341080917
562	0.1340162001
563	0.1339629383
564	0.1339103873
565	0.1337919751
566	0.1336547346
567	0.1336300606
568	0.1335569412
569	0.1333987703
570	0.1332670821
571	0.1332271628
572	0.1331386121
573	0.1330096405
574	0.1329469904
575	0.1328941089
576	0.1328604672
577	0.1327834134
578	0.1327179474
579	0.1326141411
580	0.1325831002
581	0.1325528728
582	0.1325197712
583	0.132432667
584	0.1323720992
585	0.132325953
586	0.1322980019
587	0.1322037196
588	0.1321305762
589	0.1320610672
590	0.1319557159
591	0.1318907831
592	0.1318556288
593	0.1317923459
594	0.131732419
595	0.1316423086
596	0.1315637775
597	0.1315365465
598	0.1315018443
599	0.1314620011
600	0.131401732
601	0.1312820624
602	0.1312171248
603	0.131080253
604	0.1309978149
605	0.1309038455
606	0.1308225954
607	0.130755015
608	0.1307170904
609	0.1305823819
610	0.1305236838
611	0.1304049132
612	0.1303531439
613	0.1302775538
614	0.1302406178
615	0.1302119725
616	0.1301228165
617	0.1299326224
618	0.1298397506
619	0.1297396896
620	0.1296953484
621	0.1296449437
622	0.1294982295
623	0.1293248095
624	0.1292674288
625	0.1292315498
626	0.1291741262
627	0.1291030565
628	0.1290531824
629	0.1289920152
630	0.1289486927
631	0.1289025577
632	0.1288469723
633	0.12880477
634	0.1287273387
635	0.1286726837
636	0.1286465326
637	0.1286016975
638	0.1284551586
639	0.1284211883
640	0.1284013234
641	0.128366406
642	0.1283277817
643	0.1282661938
644	0.1282367052
645	0.1282069308
646	0.1281465418
647	0.1281139471
648	0.1281036218
649	0.1280188527
650	0.1279559318
651	0.1278783028
652	0.127823089
653	0.1277653435
654	0.1276859532
655	0.1276449377
656	0.1276097671
657	0.1275289602
658	0.12737048
659	0.1272909021
660	0.1272332829
661	0.1271495204
662	0.1271191262
663	0.1270400442
664	0.1269663808
665	0.1268304491
666	0.1268210506
667	0.1267972048
668	0.1266769201
669	0.1266536384
670	0.1265448916
671	0.1264493896
672	0.1264276858
673	0.1263754437
674	0.1263381991
675	0.12623963
676	0.126172734
677	0.1261141588
678	0.1258938282
679	0.1258558271
680	0.1258355486
681	0.1257873188
682	0.1257121278
683	0.1256194342
684	0.1254425923
685	0.1254047943
686	0.1252963788
687	0.1252047765
688	0.1251430984
689	0.1250573005
690	0.1249710181
691	0.1248940292
692	0.1248619934
693	0.1247627912
694	0.1247068454
695	0.1246270507
696	0.1245997784
697	0.12454622
698	0.1245090426
699	0.1244436734
700	0.1243619436
701	0.1243136412
702	0.1242916042
703	0.1242184525
704	0.1241036496
705	0.1240419044
706	0.1239753998
707	0.123951359
708	0.1238314713
709	0.1237731773
710	0.1237497079
711	0.1236651259
712	0.1236122284
713	0.1235459462
714	0.1234780504
715	0.1234283275
716	0.123382467
